7	Stormdrain Flooding	true	1	2	1	1
6	Parking Permits for EX Road	true	3	2	2	1
8	Encampment at School Park Z	true	3	2	3	1
5	Pot Holes on ABC Parkway	true	4	2	4	1
1	Strays near Main Street	true	1	2	5	1
2	Playground Remodeling	true	1	3	1	2
4	Trash Heap at Highway 555 Overpass	true	1	3	2	2
3	Graffiti on Corner of X and Y	true	4	3	3	2
1	Strays near Main Street	true	4	3	4	2
6	Parking Permits for EX Road	true	1	3	5	2
3	Graffiti on Corner of X and Y	true	3	4	1	3
5	Pot Holes on ABC Parkway	true	1	4	2	3
1	Strays near Main Street	true	3	4	3	3
2	Playground Remodeling	true	3	4	4	3
7	Stormdrain Flooding	true	4	4	5	3
8	Encampment at School Park Z	true	4	5	1	4
1	Strays near Main Street	true	2	5	2	4
4	Trash Heap at Highway 555 Overpass	true	3	5	3	4
5	Pot Holes on ABC Parkway	true	4	5	4	4
7	Stormdrain Flooding	true	4	5	5	4
3	Graffiti on Corner of X and Y	true	3	6	1	5
4	Trash Heap at Highway 555 Overpass	true	4	6	2	5
6	Parking Permits for EX Road	true	1	6	3	5
7	Stormdrain Flooding	true	1	6	4	5
8	Encampment at School Park Z	true	2	6	5	5
8	Encampment at School Park Z	true	4	7	1	6
6	Parking Permits for EX Road	true	1	7	2	6
2	Playground Remodeling	true	4	7	3	6
1	Strays near Main Street	true	4	7	4	6
7	Stormdrain Flooding	true	3	7	5	6
4	Trash Heap at Highway 555 Overpass	true	1	8	1	7
3	Graffiti on Corner of X and Y	true	1	8	2	7
5	Pot Holes on ABC Parkway	true	3	8	3	7
7	Stormdrain Flooding	true	4	8	4	7
2	Playground Remodeling	true	2	8	5	7
6	Parking Permits for EX Road	true	4	9	1	8
8	Encampment at School Park Z	true	1	9	2	8
3	Graffiti on Corner of X and Y	true	2	9	3	8
1	Strays near Main Street	true	2	9	4	8
7	Stormdrain Flooding	true	1	9	5	8
3	Graffiti on Corner of X and Y	true	3	10	1	9
1	Strays near Main Street	true	3	10	2	9
2	Playground Remodeling	true	3	10	3	9
4	Trash Heap at Highway 555 Overpass	true	1	10	4	9
6	Parking Permits for EX Road	true	3	10	5	9
6	Parking Permits for EX Road	true	2	11	1	10
8	Encampment at School Park Z	true	3	11	2	10
3	Graffiti on Corner of X and Y	true	4	11	3	10
4	Trash Heap at Highway 555 Overpass	true	4	11	4	10
7	Stormdrain Flooding	true	2	11	5	10
8	Encampment at School Park Z	true	3	12	1	11
1	Strays near Main Street	true	2	12	2	11
6	Parking Permits for EX Road	true	2	12	3	11
3	Graffiti on Corner of X and Y	true	1	12	4	11
5	Pot Holes on ABC Parkway	true	3	12	5	11
4	Trash Heap at Highway 555 Overpass	true	2	13	1	12
6	Parking Permits for EX Road	true	2	13	2	12
3	Graffiti on Corner of X and Y	true	4	13	3	12
7	Stormdrain Flooding	true	4	13	4	12
8	Encampment at School Park Z	true	1	13	5	12
4	Trash Heap at Highway 555 Overpass	true	2	14	1	13
7	Stormdrain Flooding	true	2	14	2	13
5	Pot Holes on ABC Parkway	true	4	14	3	13
2	Playground Remodeling	true	4	14	4	13
3	Graffiti on Corner of X and Y	true	4	14	5	13
3	Graffiti on Corner of X and Y	true	4	15	1	14
8	Encampment at School Park Z	true	4	15	2	14
1	Strays near Main Street	true	1	15	3	14
4	Trash Heap at Highway 555 Overpass	true	4	15	4	14
5	Pot Holes on ABC Parkway	true	4	15	5	14
4	Trash Heap at Highway 555 Overpass	true	3	16	1	15
7	Stormdrain Flooding	true	4	16	2	15
1	Strays near Main Street	true	3	16	3	15
3	Graffiti on Corner of X and Y	true	1	16	4	15
5	Pot Holes on ABC Parkway	true	4	16	5	15
8	Encampment at School Park Z	true	3	17	1	16
7	Stormdrain Flooding	true	4	17	2	16
4	Trash Heap at Highway 555 Overpass	true	3	17	3	16
1	Strays near Main Street	true	1	17	4	16
3	Graffiti on Corner of X and Y	true	1	17	5	16
2	Playground Remodeling	true	3	18	1	17
4	Trash Heap at Highway 555 Overpass	true	1	18	2	17
8	Encampment at School Park Z	true	2	18	3	17
6	Parking Permits for EX Road	true	2	18	4	17
1	Strays near Main Street	true	3	18	5	17
6	Parking Permits for EX Road	true	3	19	1	18
5	Pot Holes on ABC Parkway	true	4	19	2	18
3	Graffiti on Corner of X and Y	true	1	19	3	18
2	Playground Remodeling	true	1	19	4	18
1	Strays near Main Street	true	1	19	5	18
3	Graffiti on Corner of X and Y	true	2	20	1	19
4	Trash Heap at Highway 555 Overpass	true	2	20	2	19
2	Playground Remodeling	true	1	20	3	19
6	Parking Permits for EX Road	true	3	20	4	19
1	Strays near Main Street	true	4	20	5	19
